Floor,UnitNo,CarpetArea,UndividedLand,ConstructionArea,UndividedLandCommArea,DirectionsEast,DirectionsWest,DirectionsNorth,DirectionsSouth
First,A-101,100.36,71.9531511,116.79,45.3402138,Flat No. A-104,12 Mtr TP Road,Flat No. A-102,FP No. 91
First,A-102,100.36,71.9531511,116.79,45.3402138,Flat No. A-103,12 Mtr TP Road,FP No. 87,Flat No. A-101
First,A-103,99.13,71.6327843,116.27,45.1383394,FP No. 89,Flat No. A-102,Flat No. B-101,Flat No. A-104
First,A-104,100.73,71.9285075,116.75,45.324685,FP No. 89,Flat No. A-101,Flat No. A-103,FP No. 91
Second,A-201,100.36,71.9531511,116.79,45.3402138,Flat No. A-204,12 Mtr TP Road,Flat No. A-202,FP No. 91
Second,A-202,100.36,71.9531511,116.79,45.3402138,Flat No. A-202,12 Mtr TP Road,FP No. 87,Flat No. A-201
Second,A-203,99.13,71.6327843,116.27,45.1383394,FP No. 89,Flat No. A-202,Flat No. B-201,Flat No. A-204
Second,A-204,100.73,71.9285075,116.75,45.324685,FP No. 89,Flat No. A-201,Flat No. A-203,FP No. 91
Third,A-301,100.36,71.9531511,116.79,45.3402138,Flat No. A-304,12 Mtr TP Road,Flat No. A-302,FP No. 91
Third,A-302,100.36,71.9531511,116.79,45.3402138,Flat No. A-303,12 Mtr TP Road,FP No. 87,Flat No. A-301
Third,A-303,99.13,71.6327843,116.27,45.1383394,FP No. 89,Flat No. A-302,Flat No. B-301,Flat No. A-304
Third,A-304,100.73,71.9285075,116.75,45.324685,FP No. 89,Flat No. A-301,Flat No. A-303,FP No. 91
Fourth,A-401,100.36,71.9531511,116.79,45.3402138,Flat No. A-404,12 Mtr TP Road,Flat No. A-402,FP No. 91
Fourth,A-402,100.36,71.9531511,116.79,45.3402138,Flat No. A-403,12 Mtr TP Road,FP No. 87,Flat No. A-401
Fourth,A-403,99.13,71.6327843,116.27,45.1383394,FP No. 89,Flat No. A-402,Flat No. B-401,Flat No. A-404
Fourth,A-404,100.73,71.9285075,116.75,45.324685,FP No. 89,Flat No. A-401,Flat No. A-403,FP No. 91
Fifth,A-501,100.36,71.9531511,116.79,45.3402138,Flat No. A-504,12 Mtr TP Road,Flat No. A-502,FP No. 91
Fifth,A-502,100.36,71.9531511,116.79,45.3402138,Flat No. A-503,12 Mtr TP Road,FP No. 87,Flat No. A-501
Fifth,A-503,99.13,71.6327843,116.27,45.1383394,FP No. 89,Flat No. A-502,Flat No. B-501,Flat No. A-504
Fifth,A-504,100.73,71.9285075,116.75,45.324685,FP No. 89,Flat No. A-501,Flat No. A-503,FP No. 91
Sixth,A-601,100.36,71.9531511,116.79,45.3402138,Flat No. A-604,12 Mtr TP Road,Flat No. A-602,FP No. 91
Sixth,A-602,100.36,71.9531511,116.79,45.3402138,Flat No. A-603,12 Mtr TP Road,FP No. 87,Flat No. A-601
Sixth,A-603,99.13,71.6327843,116.27,45.1383394,FP No. 89,Flat No. A-602,Flat No. B-601,Flat No. A-604
Sixth,A-604,100.73,71.9285075,116.75,45.324685,FP No. 89,Flat No. A-601,Flat No. A-603,FP No. 91
Seventh,A-701,100.36,71.9531511,116.79,45.3402138,Flat No. A-704,12 Mtr TP Road,Flat No. A-702,FP No. 91
Seventh,A-702,100.36,71.9531511,116.79,45.3402138,Flat No. A-703,12 Mtr TP Road,FP No. 87,Flat No. A-701
Seventh,A-703,99.13,71.6327843,116.27,45.1383394,FP No. 89,Flat No. A-702,Flat No. B-701,Flat No. A-704
Seventh,A-704,100.73,71.9285075,116.75,45.324685,FP No. 89,Flat No. A-701,Flat No. A-703,FP No. 91
Eighth,A-801,100.36,71.9531511,116.79,45.3402138,Flat No. A-804,12 Mtr TP Road,Flat No. A-802,FP No. 91
Eighth,A-802,100.36,71.9531511,116.79,45.3402138,Flat No. A-803,12 Mtr TP Road,FP No. 87,Flat No. A-801
Eighth,A-803,99.13,71.6327843,116.27,45.1383394,FP No. 89,Flat No. A-802,Flat No. B-801,Flat No. A-804
Eighth,A-804,100.73,71.9285075,116.75,45.324685,FP No. 89,Flat No. A-801,Flat No. A-803,FP No. 91
Nineth,A-901,100.36,71.9531511,116.79,45.3402138,Flat No. A-904,12 Mtr TP Road,Flat No. A-902,FP No. 91
Nineth,A-902,100.36,71.9531511,116.79,45.3402138,Flat No. A-903,12 Mtr TP Road,FP No. 87,Flat No. A-901
Nineth,A-903,99.13,71.6327843,116.27,45.1383394,FP No. 89,Flat No. A-902,Flat No. B-901,Flat No. A-904
Nineth,A-904,100.73,71.9285075,116.75,45.324685,FP No. 89,Flat No. A-901,Flat No. A-903,FP No. 91
First,B-101,99.13,71.6820715,116.35,45.169397,Flat No. B-104,12 Mtr TP Road,Flat No. B-102,Flat No. A-103
First,B-102,100.73,71.9531511,116.79,45.3402138,Flat No. B-103,12 Mtr TP Road,FP No. 87,Flat No. B-101
First,B-103,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-102,FP No. 87,Flat No. B-104
First,B-104,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-101,Flat No. B-103,FP No. 91
Second,B-201,99.13,71.6820715,116.35,45.169397,Flat No. B-204,12 Mtr TP Road,Flat No. B-202,Flat No. A-203
Second,B-202,100.73,71.9531511,116.79,45.3402138,Flat No. B-203,12 Mtr TP Road,FP No. 87,Flat No. B-201
Second,B-203,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-202,FP No. 87,Flat No. B-204
Second,B-204,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-201,Flat No. B-203,FP No. 91
Third,B-301,99.13,71.6820715,116.35,45.169397,Flat No. B-304,12 Mtr TP Road,Flat No. B-302,Flat No. A-303
Third,B-302,100.73,71.9531511,116.79,45.3402138,Flat No. B-303,12 Mtr TP Road,FP No. 87,Flat No. B-301
Third,B-303,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-302,FP No. 87,Flat No. B-304
Third,B-304,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-301,Flat No. B-303,FP No. 91
Fourth,B-401,99.13,71.6820715,116.35,45.169397,Flat No. B-404,12 Mtr TP Road,Flat No. B-402,Flat No. A-403
Fourth,B-402,100.73,71.9531511,116.79,45.3402138,Flat No. B-403,12 Mtr TP Road,FP No. 87,Flat No. B-401
Fourth,B-403,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-402,FP No. 87,Flat No. B-404
Fourth,B-404,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-401,Flat No. B-403,FP No. 91
Fifth,B-501,99.13,71.6820715,116.35,45.169397,Flat No. B-504,12 Mtr TP Road,Flat No. B-502,Flat No. A-503
Fifth,B-502,100.73,71.9531511,116.79,45.3402138,Flat No. B-503,12 Mtr TP Road,FP No. 87,Flat No. B-501
Fifth,B-503,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-502,FP No. 87,Flat No. B-504
Fifth,B-504,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-501,Flat No. B-503,FP No. 91
Sixth,B-601,99.13,71.6820715,116.35,45.169397,Flat No. B-604,12 Mtr TP Road,Flat No. B-602,Flat No. A-603
Sixth,B-602,100.73,71.9531511,116.79,45.3402138,Flat No. B-603,12 Mtr TP Road,FP No. 87,Flat No. B-601
Sixth,B-603,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-602,FP No. 87,Flat No. B-604
Sixth,B-604,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-601,Flat No. B-603,FP No. 91
Seventh,B-701,99.13,71.6820715,116.35,45.169397,Flat No. B-704,12 Mtr TP Road,Flat No. B-702,Flat No. A-703
Seventh,B-702,100.73,71.9531511,116.79,45.3402138,Flat No. B-703,12 Mtr TP Road,FP No. 87,Flat No. B-701
Seventh,B-703,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-702,FP No. 87,Flat No. B-704
Seventh,B-704,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-701,Flat No. B-703,FP No. 91
Eighth,B-801,99.13,71.6820715,116.35,45.169397,Flat No. B-804,12 Mtr TP Road,Flat No. B-802,Flat No. A-803
Eighth,B-802,100.73,71.9531511,116.79,45.3402138,Flat No. B-803,12 Mtr TP Road,FP No. 87,Flat No. B-801
Eighth,B-803,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-802,FP No. 87,Flat No. B-804
Eighth,B-804,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-801,Flat No. B-803,FP No. 91
Nineth,B-901,99.13,71.6820715,116.35,45.169397,Flat No. B-904,12 Mtr TP Road,Flat No. B-902,Flat No. A-903
Nineth,B-902,100.73,71.9531511,116.79,45.3402138,Flat No. B-903,12 Mtr TP Road,FP No. 87,Flat No. B-901
Nineth,B-903,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-902,FP No. 87,Flat No. B-904
Nineth,B-904,100.72,70.542305,114.5,44.45119,FP No. 89,Flat No. B-901,Flat No. B-903,FP No. 91
